"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 15 10:54:43 IST 2022","Tue Nov 15 10:55:47 IST 2022","63671","","Test","","Test","practice - reg","practice - reg",""
"failed","Tue Nov 15 10:52:32 IST 2022","Tue Nov 15 10:53:23 IST 2022","50327","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
